timestamp_us,ecg,leads,ir,accX,accY,accZ,gyroX,gyroY,gyroZ,temp
33021165,1907,1,194553,0.10,-0.17,9.97,-0.03,-0.01,-0.01,30.77
1918513,1820,1,195163,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2009292,1615,1,195380,0.07,-0.18,9.98,-0.03,-0.01,-0.00,31.43
2085165,1617,1,195491,0.07,-0.18,9.98,-0.03,-0.01,-0.01,31.43
2163165,1728,1,195496,0.07,-0.16,9.96,-0.03,-0.01,-0.00,31.43
2243159,1617,1,195475,0.07,-0.18,9.98,-0.03,-0.01,-0.01,31.43
2323160,1646,1,195627,0.07,-0.18,10.00,-0.03,-0.01,-0.01,31.43
2403160,1753,1,195714,0.06,-0.19,10.01,-0.03,-0.01,-0.00,31.43
2483218,2033,1,195204,0.07,-0.18,10.00,-0.03,-0.01,-0.01,31.43
2563160,1890,1,194834,0.06,-0.17,10.01,-0.03,-0.01,-0.01,31.43
2643161,1746,1,194897,0.08,-0.17,10.00,-0.03,-0.01,-0.00,31.43
2723159,1836,1,195024,0.08,-0.19,9.96,-0.03,-0.01,-0.01,31.43
2803160,1743,1,195026,0.06,-0.17,9.99,-0.03,-0.01,-0.01,31.43
2883160,1814,1,195137,0.04,-0.17,10.00,-0.03,-0.01,-0.01,31.43
2963160,4087,1,195253,0.06,-0.19,9.98,-0.03,-0.01,-0.01,31.43
3048215,1778,1,195354,0.06,-0.18,9.98,-0.03,-0.01,-0.00,31.39
3124160,1978,1,195062,0.06,-0.18,9.97,-0.03,-0.01,-0.00,31.39
3202165,2115,1,194254,0.06,-0.20,9.99,-0.03,-0.01,-0.01,31.39
3282160,1743,1,194190,0.06,-0.20,10.01,-0.03,-0.01,-0.01,31.39
3362159,1881,1,194286,0.08,-0.18,10.00,-0.03,-0.01,-0.00,31.39
3442159,1872,1,194438,0.06,-0.18,9.98,-0.03,-0.01,-0.01,31.39
3522165,1987,1,194627,0.05,-0.17,10.00,-0.03,-0.01,-0.00,31.39
3602180,1837,1,194824,0.07,-0.17,9.98,-0.03,-0.01,-0.00,31.39
3682159,1779,1,194999,0.07,-0.18,10.01,-0.03,-0.01,-0.01,31.39
3762160,1879,1,195085,0.06,-0.19,10.00,-0.03,-0.01,-0.01,31.39
3842160,2196,1,194409,0.07,-0.18,9.97,-0.04,-0.02,-0.01,31.39
3922159,2032,1,194142,0.07,-0.18,9.97,-0.03,-0.02,-0.01,31.39
4002160,1911,1,194239,0.07,-0.18,10.02,-0.03,-0.02,-0.01,31.39
4087215,2031,1,194433,0.07,-0.18,9.99,-0.03,-0.01,-0.01,31.49
4161160,2018,1,194476,0.07,-0.19,9.99,-0.03,-0.01,-0.01,31.49
4241160,2082,1,194584,0.06,-0.18,9.99,-0.03,-0.01,-0.00,31.49
4321160,3550,1,194870,0.09,-0.20,9.99,-0.03,-0.01,-0.00,31.49
4401160,1962,1,195147,0.08,-0.17,9.98,-0.03,-0.02,-0.00,31.49
4481160,2135,1,195143,0.08,-0.19,9.99,-0.03,-0.02,-0.00,31.49
