timestamp_us,ecg,leads,ir,red,accX,accY,accZ,gyroX,gyroY,gyroZ,temp
1919485,1227,1,208713,237043,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1949956,722,1,208670,237130,1.18,0.15,9.66,-0.03,-0.01,-0.00,34.81
1990174,555,1,208689,237213,1.21,0.16,9.92,-0.03,-0.02,-0.00,34.81
2030167,501,1,208770,237442,1.23,0.15,9.94,-0.03,-0.02,-0.00,34.81
2070169,592,1,208859,237849,1.23,0.16,9.91,-0.03,-0.01,-0.00,34.81
2110167,752,1,208979,237890,1.21,0.13,9.93,-0.03,-0.01,-0.00,34.81
2150169,953,1,208961,237873,1.24,0.15,9.92,-0.03,-0.01,-0.00,34.81
2190167,1146,1,208953,238104,1.24,0.14,9.92,-0.03,-0.01,-0.00,34.81
2230169,1328,1,209162,238517,1.22,0.17,9.93,-0.03,-0.01,-0.00,34.81
2270169,1492,1,209231,238798,1.23,0.16,9.94,-0.03,-0.01,-0.00,34.81
2310169,1633,1,209311,239101,1.24,0.14,9.95,-0.03,-0.01,-0.00,34.81
2350170,1773,1,209426,239266,1.20,0.16,9.92,-0.03,-0.01,-0.00,34.81
2390169,1904,1,209503,239423,1.23,0.17,9.91,-0.03,-0.02,-0.00,34.81
2430167,2034,1,209524,239558,1.25,0.15,9.91,-0.03,-0.02,-0.00,34.81
2470169,2121,1,209583,239542,1.23,0.16,9.91,-0.03,-0.01,-0.00,34.81
2510170,2225,1,209338,238039,1.21,0.17,9.91,-0.03,-0.01,-0.00,34.81
2550169,2267,1,208537,235973,1.22,0.18,9.89,-0.04,-0.01,-0.00,34.81
2590170,2320,1,208146,235801,1.24,0.15,9.95,-0.03,-0.01,-0.00,34.81
2630169,2352,1,208331,236219,1.26,0.14,9.94,-0.03,-0.01,-0.00,34.81
2670167,2357,1,208519,236699,1.22,0.16,9.94,-0.03,-0.01,-0.00,34.81
2710170,2355,1,208756,237195,1.22,0.16,9.92,-0.03,-0.01,-0.00,34.81
2750170,2368,1,209025,237865,1.25,0.15,9.92,-0.03,-0.01,-0.00,34.81
2790169,2373,1,209283,238142,1.23,0.16,9.92,-0.03,-0.01,-0.00,34.81
2830170,2339,1,209264,238134,1.22,0.15,9.90,-0.03,-0.01,-0.00,34.81
2870221,2352,1,209248,238294,1.23,0.16,9.95,-0.03,-0.01,-0.00,34.81
2910170,2346,1,209321,238672,1.24,0.14,9.95,-0.03,-0.01,-0.00,34.81
2950169,2287,1,209476,238966,1.24,0.16,9.93,-0.03,-0.01,-0.00,34.81
2990856,2229,1,209611,239248,1.23,0.15,9.92,-0.03,-0.01,-0.00,34.37
3029170,2286,1,209728,239445,1.24,0.17,9.96,-0.03,-0.01,-0.00,34.37
3069195,2251,1,209728,239539,1.23,0.15,9.93,-0.03,-0.01,-0.00,34.37
3109169,2251,1,209782,239724,1.23,0.15,9.90,-0.03,-0.01,-0.00,34.37
3149167,2233,1,209924,240145,1.24,0.16,9.94,-0.03,-0.01,-0.00,34.37
3189170,2195,1,210036,240082,1.24,0.17,9.94,-0.03,-0.01,-0.00,34.37
3229170,2192,1,209678,238390,1.22,0.17,9.94,-0.04,-0.01,-0.00,34.37
3269169,2158,1,209114,237711,1.24,0.17,9.94,-0.03,-0.01,-0.00,34.37
3309170,2127,1,209503,238757,1.24,0.15,9.93,-0.03,-0.01,-0.00,34.37
3349170,2096,1,210075,240127,1.22,0.16,9.94,-0.03,-0.02,-0.00,34.37
3389167,2087,1,210796,241656,1.24,0.17,9.97,-0.04,-0.02,-0.00,34.37
3429169,2079,1,211525,243150,1.25,0.18,9.92,-0.04,-0.02,-0.00,34.37
3469167,2095,1,212168,244599,1.24,0.15,9.95,-0.03,-0.03,-0.00,34.37
3509170,2196,1,212893,245760,1.24,0.15,9.93,-0.04,-0.03,-0.00,34.37
3549167,2259,1,213334,246484,1.27,0.15,9.90,-0.03,-0.02,-0.00,34.37
3589170,2257,1,213469,246967,1.25,0.17,9.91,-0.03,-0.01,-0.00,34.37
3629167,2231,1,213743,247515,1.29,0.16,9.95,-0.03,-0.00,-0.01,34.37
3669169,2295,1,213953,247928,1.26,0.15,9.90,-0.04,-0.01,-0.01,34.37
3709170,2243,1,214055,248352,1.27,0.16,9.92,-0.03,-0.01,-0.00,34.37
3749170,2192,1,214064,248548,1.27,0.14,9.91,-0.03,-0.01,-0.00,34.37
3789170,2114,1,214074,248591,1.26,0.15,9.92,-0.03,-0.01,-0.00,34.37
3829169,2109,1,214132,248484,1.25,0.15,9.91,-0.03,-0.01,-0.00,34.37
3869167,2000,1,214135,247972,1.27,0.15,9.94,-0.03,-0.01,-0.00,34.37
3909170,1985,1,213492,245951,1.26,0.15,9.91,-0.03,-0.01,-0.00,34.37
3949170,1923,1,212731,244545,1.24,0.15,9.90,-0.03,-0.01,-0.00,34.37
3989169,1882,1,212501,244108,1.25,0.14,9.94,-0.03,-0.01,-0.00,34.37
4029854,1811,1,212423,244097,1.24,0.14,9.91,-0.03,-0.01,-0.00,34.37
4068169,1884,1,212346,244198,1.24,0.14,9.93,-0.03,-0.01,-0.00,34.37
4108170,1858,1,212571,244780,1.25,0.15,9.93,-0.04,-0.01,-0.00,34.37
4148169,1836,1,212775,245047,1.26,0.16,9.92,-0.03,-0.01,-0.00,34.37
4188170,1795,1,212811,245177,1.26,0.17,9.93,-0.03,-0.01,-0.00,34.37
4228170,1841,1,212824,245376,1.26,0.16,9.92,-0.03,-0.01,-0.00,34.37
4268170,1794,1,212957,245719,1.27,0.16,9.94,-0.03,-0.01,-0.01,34.37
4308169,1805,1,213126,246018,1.25,0.14,9.93,-0.03,-0.01,-0.00,34.37
4348170,1794,1,213156,246425,1.28,0.17,9.92,-0.03,-0.01,-0.00,34.37
4388170,1799,1,213253,246606,1.26,0.14,9.94,-0.03,-0.01,-0.00,34.37
4428170,1775,1,213274,246644,1.26,0.17,9.96,-0.03,-0.01,-0.00,34.37
4468170,1817,1,213248,246719,1.26,0.16,9.95,-0.03,-0.01,-0.01,34.37
4508222,1849,1,213155,246737,1.25,0.15,9.92,-0.03,-0.01,-0.00,34.37
4548169,1861,1,213066,245618,1.27,0.15,9.91,-0.03,-0.01,-0.00,34.37
4588170,1874,1,212339,243701,1.27,0.16,9.91,-0.03,0.00,-0.00,34.37
4628161,1831,1,211566,242309,1.23,0.15,9.98,-0.02,0.01,-0.00,34.37
4668158,1782,1,211476,242498,1.22,0.16,9.95,-0.03,-0.03,-0.00,34.37
4708221,1807,1,211785,243021,1.27,0.19,9.98,-0.05,-0.03,-0.00,34.37
4748167,1850,1,211901,243440,1.24,0.18,9.94,-0.03,-0.01,-0.00,34.37
4788169,1827,1,212087,243982,1.24,0.14,9.93,-0.03,-0.01,-0.00,34.37
4828170,1845,1,212189,244556,1.23,0.16,9.93,-0.03,-0.01,-0.00,34.37
4868170,1822,1,212301,244797,1.26,0.17,9.96,-0.03,-0.01,-0.00,34.37
4908170,1818,1,212455,245111,1.23,0.16,9.91,-0.04,-0.02,-0.00,34.37
4948170,1844,1,212639,245492,1.26,0.16,9.92,-0.04,-0.01,-0.00,34.37
4988170,1920,1,212825,245778,1.25,0.14,9.94,-0.03,-0.01,-0.00,34.37
5028169,1931,1,212918,245990,1.25,0.17,9.92,-0.03,-0.01,-0.00,34.37
5068856,1919,1,212876,245874,1.28,0.18,9.93,-0.03,-0.00,-0.00,32.25
5109169,1917,1,212513,245797,1.24,0.17,9.94,-0.03,-0.00,-0.00,32.25
5149170,1757,1,212411,245753,1.24,0.17,9.95,-0.03,-0.00,-0.00,32.25
5189170,1685,1,212501,245959,1.23,0.17,9.92,-0.03,-0.01,-0.00,32.25
5229170,1661,1,212423,244990,1.26,0.17,9.93,-0.03,0.01,-0.00,32.25
5269161,1690,1,211664,242672,1.23,0.18,9.95,-0.03,-0.02,-0.00,32.25
5309167,1729,1,211145,241579,1.24,0.17,9.94,-0.03,-0.01,-0.00,32.25
5349169,1759,1,210914,241467,1.24,0.17,9.93,-0.03,-0.01,-0.00,32.25
5389170,1841,1,211133,241839,1.24,0.16,9.92,-0.04,-0.02,-0.00,32.25
5429170,1950,1,211309,242368,1.24,0.17,9.91,-0.04,-0.02,-0.00,32.25
5469170,1969,1,211655,243199,1.25,0.16,9.91,-0.04,-0.02,-0.00,32.25
5509169,2029,1,211819,243381,1.23,0.17,9.90,-0.03,-0.01,-0.00,32.25
5549167,2166,1,211675,243179,1.25,0.17,9.92,-0.03,-0.01,-0.00,32.25
