timestamp_us,ecg,leads,ir,red,accX,accY,accZ,gyroX,gyroY,gyroZ,temp
2418493,2032,1,191861,217689,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2448964,2336,1,191673,218682,-0.65,-0.13,9.68,-0.03,-0.01,-0.01,34.45
2489220,2427,1,192084,219505,-0.66,-0.14,9.93,-0.03,-0.01,-0.01,34.45
2529211,2431,1,191964,220012,-0.67,-0.16,9.94,-0.04,-0.00,-0.01,34.45
2569212,2559,1,191643,220468,-0.70,-0.14,9.94,-0.03,-0.00,-0.01,34.45
2609255,2473,1,191917,220854,-0.68,-0.12,9.94,-0.03,-0.01,-0.01,34.45
2649212,2629,1,191002,221254,-0.68,-0.15,9.95,-0.03,-0.00,-0.01,34.45
2689210,2526,1,192540,222029,-0.67,-0.14,9.96,-0.04,-0.00,-0.01,34.45
2729212,2394,1,193032,222618,-0.67,-0.13,9.94,-0.04,-0.01,-0.01,34.45
2769210,2499,1,193012,223623,-0.67,-0.14,9.94,-0.03,-0.00,-0.01,34.45
2809234,2559,1,193343,225003,-0.66,-0.13,9.91,-0.03,-0.01,-0.01,34.45
2849211,2739,1,193313,224637,-0.69,-0.14,9.95,-0.04,-0.01,-0.01,34.45
2889212,2803,1,192887,223357,-0.65,-0.15,9.95,-0.03,-0.01,-0.00,34.45
2929210,2449,1,193331,224004,-0.65,-0.14,9.92,-0.04,-0.07,-0.01,34.45
2969212,2256,1,193792,224809,-0.65,-0.13,9.91,-0.03,0.01,-0.00,34.45
3009195,2138,1,193907,224852,-0.69,-0.13,9.96,-0.03,0.03,-0.01,34.45
3049198,2096,1,194267,225280,-0.67,-0.14,9.95,-0.03,-0.01,-0.01,34.45
3089211,2054,1,194316,225482,-0.64,-0.13,9.92,-0.03,0.00,-0.00,34.45
3129198,2103,1,194458,225321,-0.68,-0.14,9.96,-0.04,-0.01,-0.01,34.45
3169210,2062,1,194396,224842,-0.67,-0.15,9.93,-0.03,-0.02,-0.01,34.45
3209212,2046,1,194361,224673,-0.69,-0.13,9.95,-0.04,-0.02,-0.01,34.45
3249211,3410,1,192724,224857,-0.67,-0.14,9.94,-0.04,-0.02,-0.01,34.45
3289212,1949,1,194315,225489,-0.65,-0.16,9.95,-0.03,-0.01,-0.01,34.45
3329210,1955,1,194506,225967,-0.66,-0.14,9.93,-0.03,-0.00,-0.01,34.45
3369212,2075,1,194677,225990,-0.66,-0.14,9.94,-0.04,-0.01,-0.00,34.45
3409210,2174,1,194390,225739,-0.66,-0.15,9.95,-0.04,0.00,-0.01,34.45
3449197,2356,1,193974,222949,-0.67,-0.14,9.95,-0.03,-0.00,-0.00,34.45
3489897,2240,1,192995,220716,-0.65,-0.15,9.95,-0.03,-0.01,-0.00,34.67
3528212,1922,1,192601,220123,-0.65,-0.14,9.95,-0.04,-0.01,-0.01,34.67
3568210,1909,1,192494,220347,-0.66,-0.13,9.93,-0.03,-0.01,-0.00,34.67
3608212,1955,1,192696,220804,-0.65,-0.14,9.95,-0.04,-0.01,-0.01,34.67
3648210,1967,1,192805,221519,-0.66,-0.13,9.94,-0.04,0.00,-0.01,34.67
3688197,1981,1,193046,222024,-0.68,-0.14,9.96,-0.03,-0.00,-0.01,34.67
3728210,2097,1,193038,222232,-0.68,-0.14,9.93,-0.04,-0.01,-0.01,34.67
3768212,1931,1,193250,222295,-0.68,-0.11,9.94,-0.03,-0.01,-0.01,34.67
3808211,1930,1,192951,222433,-0.65,-0.13,9.96,-0.04,-0.01,-0.01,34.67
3848212,1789,1,193549,222648,-0.68,-0.16,9.94,-0.04,-0.01,-0.01,34.67
3888211,1840,1,193557,223033,-0.67,-0.13,9.96,-0.04,-0.01,-0.01,34.67
3928212,1899,1,193655,223191,-0.66,-0.13,9.95,-0.04,-0.01,-0.01,34.67
3968210,1978,1,193809,223327,-0.67,-0.13,9.95,-0.03,-0.00,-0.01,34.67
